Subject,Gender,Condition,AlphaPower,BetaPower,BetaAlphaRatio,AlphaLateralization,AttentionEngagement,NormAlphaLateralization,NormAttentionEngagement
JKH,F,长,1.890018026910913,0.4038602287477317,0.21368062261702853,0.0516344414608052,4.67988153419162,-0.45899226687991035,0.2612990832101288
JKH,F,漫,2.0094205321741994,0.4091221025179234,0.20360203151465364,-0.0497906897199627,4.9115423483779335,0.4426026678612889,0.27423376070577443
JKH,F,短,2.2664678446283544,0.5236046236752103,0.23102230411791647,0.0009714343625812916,4.328586383977836,-0.008635338111378394,0.24168467630337745
XLL,F,长,9.100534239222322,1.2020129032344595,0.13208157583253888,-0.2541996860817868,7.571078658751477,1.0598958196698152,0.8838093473214922
XLL,F,漫,9.992169445144794,0.8536472062092105,0.08543161831828208,-1.5807200570708346,11.705268139419095,6.590875883373683,1.3664136724514029
XLL,F,短,13.731321695988486,0.9611136757095473,0.06999425816309658,-2.2323241206145905,14.28688618529048,9.307765245729883,1.6677786777558434
CQY,F,长,3.336589042427394,0.5852119455898748,0.17539227580874886,0.9896851696189168,5.7015053564298315,0.731676909137959,0.1930913271812375
CQY,F,漫,3.5903043117543096,0.6580447913546547,0.1832838484471301,0.26322262626230364,5.456018129652374,0.1946011959267185,0.18477747821307966
CQY,F,短,5.6779458180885,0.9259674017505605,0.16308140856164255,0.21587674932064171,6.1319068115726605,0.15959826169618901,0.20766761589778526
ZLL,F,漫,7.905469077427601,1.125076759912609,0.14231625585950722,0.21845671350632667,7.02660419191457,0.16042133908531264,0.1876326909205945
ZLL,F,长,6.35731897359558,0.6469801510968599,0.10176933921107628,3.473025241074861,9.826142212891197,2.5503787496747474,0.2623892643468876
ZLL,F,短,11.173324990385693,0.854731082693875,0.07649746905503466,1.1272431742466757,13.072327912974073,0.8277789067910382,0.3490727520599677
LR,F,漫,2.540612609268597,0.4487568846603068,0.1766333375750256,-0.022160058718178277,5.661445419810666,0.3446761198401355,0.8666083468757305
